size: [1339 4]
-0.11868249 0.72431225 0.05061459 3100000000
-0.15009844 0.44855002 0.013962646 3109900000
-0.120427825 0.09424786 0.0034906615 3120000000
-0.08901187 -0.35430214 -0.029670622 3129900000
-0.059341244 -0.75572824 -0.08377588 3140000000
-0.036651947 -0.9424786 -0.0907572 3149900000
0.02094397 -1.0000745 -0.11693716 3160000000
0.08901187 -1.0210185 -0.11868249 3169900000
0.15533444 -1.0297451 -0.106465176 3180000000
0.19722238 -0.9320066 -0.120427825 3189900000
0.18500505 -0.8848827 -0.1535891 3200000000
0.13962646 -0.83601344 -0.15707977 3209900000
0.13439047 -0.75572824 -0.1867504 3220000000
0.13962646 -0.659735 -0.20245837 3229900000
0.17976907 -0.5602512 -0.20245837 3240000000
0.21642101 -0.5009099 -0.21118502 3248900000
0.28448892 -0.45727664 -0.16406108 3260000000
0.3577928 -0.4188794 -0.13439047 3269900000
0.39619008 -0.38397276 -0.11170117 3280000000
0.3682648 -0.36477414 -0.09773852 3289900000
0.29321557 -0.37699145 -0.085521206 3300000000
0.21991168 -0.42237005 -0.08203054 3309900000
0.19024105 -0.47298464 -0.0907572 3320000000
0.19024105 -0.5061459 -0.09773852 3329900000
0.17104241 -0.5375619 -0.08203054 3340000000
0.1361358 -0.5777045 -0.080285214 3349900000
0.09424786 -0.56897783 -0.08203054 3360000000
0.066322565 -0.45553133 -0.085521206 3369900000
0.04188794 -0.29147023 -0.08203054 3380000000
-0.054105252 -0.106465176 -0.05061459 3389900000
-0.23038366 -0.0226893 -0.0017453308 3400000000
-0.28274357 -0.026179962 0.052359924 3409900000
-0.15009844 -0.12740915 0.04886926 3420000000
-0.0034906615 -0.3700101 0.04886926 3429900000
0.0 -0.55326986 -0.012217315 3440000000
-0.09250253 -0.68766034 -0.16406108 3449900000
-0.11693716 -0.85346675 -0.2548183 3460000000
-0.066322565 -0.9773852 -0.26354495 3469900000
0.059341244 -0.99832916 -0.25132763 3480000000
0.18325973 -0.9354973 -0.21293035 3489900000
0.24958229 -0.7801629 -0.14835311 3500000000
0.2548183 -0.49741927 -0.080285214 3509900000
0.20071304 -0.1535891 -0.036651947 3520000000
0.0907572 0.22863832 -0.034906615 3529900000
-0.055850584 0.55326986 -0.036651947 3540000000
-0.18849573 0.7662002 -0.066322565 3549900000
-0.27401692 0.79587084 -0.106465176 3560000000
-0.2949609 0.62657374 -0.14311711 3569900000
-0.25132763 0.2548183 -0.16057043 3580000000
-0.12391848 -0.20594902 -0.1588251 3589900000
0.017453307 -0.57246846 -0.17104241 3598900000
0.17976907 -1.0000745 -0.18325973 3609900000
0.30892354 -1.2967807 -0.23038366 3620000000
0.36128345 -1.4521152 -0.27576226 3629900000
0.39269942 -1.5062205 -0.2949609 3640000000
0.453786 -1.4905125 -0.34208483 3649900000
0.5061459 -1.4119725 -0.3700101 3660000000
0.4886926 -1.2601289 -0.38222742 3669900000
0.3630288 -0.99832916 -0.34557548 3680000000
0.1588251 -0.67369765 -0.2722716 3689900000
-0.027925292 -0.3106689 -0.19722238 3700000000
-0.16929708 0.040142607 -0.10995584 3709900000
-0.28274357 0.30194223 -0.04188794 3720000000
-0.35430214 0.49741927 0.010471985 3729900000
-0.39619008 0.6126111 0.029670622 3740000000
-0.4206247 0.66671634 0.029670622 3749900000
-0.42237005 0.6108658 0.0226893 3760000000
-0.36477414 0.49043795 0.010471985 3769900000
-0.232129 0.36477414 -0.0052359924 3780000000
-0.087266535 0.232129 -0.019198637 3789900000
0.036651947 0.15707977 -0.036651947 3800000000
0.09424786 0.10122918 -0.038397275 3809900000
0.14486246 0.029670622 -0.059341244 3820000000
0.16580643 -0.010471985 -0.04712393 3829900000
0.1361358 -0.034906615 -0.02443463 3840000000
0.09773852 -0.04188794 -0.019198637 3849900000
0.043633267 -0.06283191 -0.013962646 3860000000
0.010471985 -0.066322565 -0.0034906615 3869900000
-0.0052359924 -0.080285214 -0.010471985 3880000000
0.0 -0.054105252 -0.038397275 3889900000
0.010471985 0.038397275 -0.07155856 3900000000
0.043633267 0.19373171 -0.087266535 3909900000
0.0680679 0.34383017 -0.07504922 3920000000
0.07155856 0.49741927 -0.05061459 3929900000
0.04712393 0.5777045 -0.008726654 3940000000
0.012217315 0.5881765 0.038397275 3949900000
-0.010471985 0.53232586 0.0680679 3960000000
0.010471985 0.44855002 0.09599319 3969900000
0.106465176 0.31939554 0.10122918 3980000000
0.22165701 0.17104241 0.120427825 3989900000
0.19896771 0.12566382 0.14137179 4000000000
0.02443463 0.18500505 0.17802374 4009900000
-0.14486246 0.26529026 0.226893 4020000000
-0.23038366 0.32637686 0.27401692 4029900000
-0.22165701 0.23561965 0.28797957 4040000000
-0.11170117 0.040142607 0.3001969 4049900000
0.06457724 -0.17627841 0.27925292 4060000000
0.22514766 -0.3735008 0.23038366 4069900000
0.2617996 -0.4660033 0.17453307 4080000000
0.21118502 -0.4188794 0.120427825 4089900000
0.09599319 -0.25830895 0.07155856 4100000000
-0.06981323 -0.010471985 0.019198637 4109900000
-0.19373171 0.21467568 0.0052359924 4120000000
-0.21642101 0.39793542 -0.008726654 4129900000
-0.19722238 0.464258 -0.0017453308 4140000000
-0.17802374 0.44156867 -0.008726654 4149900000
-0.15009844 0.35255682 -0.008726654 4160000000
-0.11693716 0.21293035 0.010471985 4169900000
-0.08203054 0.06981323 0.0453786 4180000000
-0.052359924 -0.0226893 0.0907572 4189900000
-0.04886926 -0.08377588 0.120427825 4200000000
-0.080285214 -0.12391848 0.1535891 4209900000
-0.11693716 -0.16057043 0.15533444 4220000000
-0.1588251 -0.18325973 0.15707977 4229900000
-0.17104241 -0.19722238 0.13439047 4240000000
-0.16057043 -0.1815144 0.106465176 4249900000
-0.17976907 -0.16929708 0.06283191 4260000000
-0.19896771 -0.13788113 0.027925292 4269900000
-0.21118502 -0.061086576 -0.015707977 4280000000
-0.19373171 0.0453786 -0.052359924 4289900000
-0.16755176 0.15533444 -0.06981323 4300000000
-0.16406108 0.24958229 -0.07155856 4309900000
-0.19198638 0.35953814 -0.087266535 4320000000
-0.19896771 0.43458736 -0.10471985 4329900000
-0.19024105 0.4206247 -0.106465176 4340000000
-0.1308998 0.34383017 -0.10471985 4349900000
-0.036651947 0.21118502 -0.0907572 4360000000
0.036651947 0.059341244 -0.07504922 4369900000
0.07155856 -0.099483855 -0.057595916 4380000000
0.080285214 -0.21991168 -0.04712393 4389900000
0.080285214 -0.28448892 -0.052359924 4400000000
0.07155856 -0.33161286 -0.057595916 4409900000
0.080285214 -0.36128345 -0.07504922 4420000000
0.057595916 -0.36651945 -0.07504922 4429900000
0.02443463 -0.34033948 -0.06283191 4440000000
-0.006981323 -0.2722716 -0.043633267 4449900000
-0.031415954 -0.16231576 -0.0226893 4460000000
-0.06981323 -0.033161283 -0.015707977 4469900000
-0.10122918 0.07504922 -0.026179962 4480000000
-0.14835311 0.19547704 -0.04188794 4489900000
-0.19024105 0.35430214 -0.07155856 4500000000
-0.21642101 0.5393072 -0.10995584 4509900000
-0.17976907 0.68766034 -0.11868249 4520000000
-0.099483855 0.7696909 -0.10995584 4529900000
-0.015707977 0.74176556 -0.080285214 4540000000
0.09424786 0.6213378 -0.0453786 4549900000
0.27401692 0.36477414 -0.055850584 4560000000
0.41538873 -0.078539886 -0.08377588 4569900000
0.37175545 -0.5550152 -0.120427825 4580000000
0.22340234 -0.78539884 -0.20245837 4589900000
0.04886926 -0.7871442 -0.3071782 4600000000
-0.12915447 -0.74525625 -0.36128345 4609900000
-0.22514766 -0.65449905 -0.39095408 4620000000
-0.1535891 -0.5550152 -0.38222742 4629900000
0.019198637 -0.46774864 -0.28972492 4640000000
0.1815144 -0.40142608 -0.14311711 4649900000
0.28099826 -0.28623423 -0.019198637 4660000000
0.28623423 -0.20594902 0.07155856 4669900000
0.2042037 -0.11519183 0.1308998 4680000000
0.08901187 -0.078539886 0.13439047 4689900000
0.026179962 -0.12566382 0.09599319 4700000000
0.10471985 -0.19547704 0.029670622 4709900000
0.2949609 -0.2391103 -0.036651947 4720000000
0.4782206 -0.24085565 -0.10471985 4729900000
0.6003938 -0.2094397 -0.16580643 4740000000
0.6283191 -0.0907572 -0.19373171 4749900000
0.5497792 0.06283191 -0.21293035 4760000000
0.41015273 0.16580643 -0.20769437 4769900000
0.29845157 0.18500505 -0.19373171 4780000000
0.22340234 0.1535891 -0.1815144 4789900000
0.20769437 0.05061459 -0.15707977 4800000000
0.25132763 -0.061086576 -0.14486246 4809900000
0.30368754 -0.15707977 -0.1134465 4820000000
0.37175545 -0.20245837 -0.057595916 4829900000
0.45553133 -0.21467568 -0.040142607 4840000000
0.5201086 -0.23387432 -0.04188794 4849900000
0.47472996 -0.22340234 -0.066322565 4860000000
0.3700101 -0.16580643 -0.108210504 4869900000
0.2600543 -0.106465176 -0.14486246 4878900000
0.11519183 0.040142607 -0.17627841 4889900000
0.04188794 0.14486246 -0.17802374 4900000000
0.015707977 0.24260098 -0.16406108 4909900000
0.013962646 0.3246315 -0.14486246 4920000000
0.027925292 0.3630288 -0.12391848 4929900000
0.04712393 0.32637686 -0.120427825 4940000000
0.043633267 0.2391103 -0.10471985 4949900000
0.09424786 0.019198637 -0.061086576 4960000000
0.23038366 -0.16929708 -0.0017453308 4969900000
0.3735008 -0.2722716 0.029670622 4980000000
0.42411536 -0.35430214 0.087266535 4989900000
0.3577928 -0.38222742 0.14486246 5000000000
0.24958229 -0.41538873 0.17278774 5009900000
0.17104241 -0.47298464 0.1588251 5020000000
0.14660779 -0.5515245 0.16057043 5029900000
0.11868249 -0.59341246 0.16057043 5040000000
0.09424786 -0.5707232 0.12915447 5049900000
0.0453786 -0.5061459 0.10471985 5060000000
-0.040142607 -0.3682648 0.08203054 5069900000
-0.1134465 -0.14660779 0.06283191 5080000000
-0.12566382 0.07330389 0.033161283 5089900000
-0.08203054 0.24085565 0.04712393 5100000000
0.015707977 0.32114086 0.06283191 5109900000
0.043633267 0.3700101 0.106465176 5120000000
-0.08901187 0.4764753 0.16406108 5129900000
-0.29321557 0.6894056 0.23038366 5140000000
-0.50789124 0.9145533 0.30368754 5149900000
-0.6894056 1.0088012 0.3700101 5160000000
-0.7662002 0.91106266 0.43458736 5169900000
-0.6300644 0.6143564 0.47472996 5180000000
-0.3298675 0.22165701 0.47996596 5189900000
0.008726654 -0.17627841 0.459022 5200000000
0.21816635 -0.45727664 0.39619008 5209900000
0.23736498 -0.5602512 0.29321557 5220000000
0.13439047 -0.53232586 0.17278774 5229900000
-0.019198637 -0.42760605 0.06457724 5240000000
-0.13788113 -0.23736498 0.010471985 5249900000
-0.22165701 -0.078539886 -0.013962646 5260000000
-0.2722716 -0.008726654 0.0034906615 5269900000
-0.30368754 0.036651947 0.0052359924 5280000000
-0.31939554 0.07330389 0.0052359924 5289900000
-0.29147023 0.05061459 0.026179962 5300000000
-0.20594902 0.010471985 0.055850584 5309900000
-0.085521206 -0.085521206 0.09599319 5320000000
-0.019198637 -0.21293035 0.13962646 5329900000
0.010471985 -0.38222742 0.17453307 5340000000
0.02094397 -0.54628855 0.19373171 5349900000
0.038397275 -0.6684617 0.19198638 5360000000
0.052359924 -0.7330389 0.16929708 5369900000
0.052359924 -0.7574735 0.1308998 5380000000
0.04188794 -0.7400202 0.085521206 5389900000
0.036651947 -0.664971 0.02443463 5400000000
0.034906615 -0.5061459 -0.033161283 5409900000
0.019198637 -0.29147023 -0.09250253 5420000000
0.006981323 -0.066322565 -0.12740915 5429900000
-0.0052359924 0.12740915 -0.14486246 5440000000
-0.008726654 0.32114086 -0.1308998 5449900000
-0.06283191 0.43284202 -0.11519183 5460000000
-0.1361358 0.39793542 -0.06283191 5469900000
-0.17278774 0.31939554 -0.02443463 5480000000
-0.15009844 0.19373171 -0.0034906615 5489900000
-0.085521206 0.057595916 0.0226893 5500000000
0.0017453308 -0.055850584 0.019198637 5509900000
0.0907572 -0.16580643 0.017453307 5520000000
0.19722238 -0.24260098 0.0052359924 5529900000
0.30368754 -0.3071782 -0.043633267 5540000000
0.38746342 -0.3351035 -0.09599319 5549900000
0.4258607 -0.3176502 -0.16580643 5560000000
0.36128345 -0.18500505 -0.21118502 5569900000
0.15533444 -0.02094397 -0.26354495 5580000000
-0.07504922 0.12740915 -0.29147023 5589900000
-0.21467568 0.25132763 -0.28797957 5600000000
-0.2775076 0.3351035 -0.2600543 5609900000
-0.2617996 0.4206247 -0.22165701 5619900000
-0.20071304 0.4764753 -0.19547704 5629900000
-0.09599319 0.5305805 -0.18849573 5640000000
0.017453307 0.6091204 -0.17627841 5649900000
0.13439047 0.6527537 -0.17104241 5660000000
0.22863832 0.5986484 -0.15533444 5669900000
0.2949609 0.4188794 -0.17278774 5680000000
0.26529026 0.19896771 -0.14835311 5689900000
